ControlFlow,Exceptions,Expressions,Functions,Literal,LogicalExpression,LoopControlFlow,Loops,ObjectExpressions,Pattern,Property,Return,Statements,ThisExpression,VariableDeclarator,arrayManipulation,avg_str_length,concatenation,dom_operations,encodingObfuscation,eval,file_length,funcArgsCallExpression,funcArgsPrimitiveVal,funcReturnString,funcSelfInvoking,stringCount,varConcatenation,varWithArrayExpression,varWithCallExpression,varWithLiteralString,varWithNewExpression,varWithObjExpression,varWithThisExpression,Class
29,4,333,23,236,10,4,18,10,0,1,25,127,15,33,9,50,38,1,33,1,13328,13,38,5,4,149,2,0,6,2,0,1,0,Malicious
10,6,155,10,35,11,1,4,8,0,3,8,37,2,17,3,2,6,7,11,0,1860,4,7,0,4,15,0,0,3,1,1,1,0,Benign
1,0,18,1,34340,0,0,1,1,0,92,1,9,2,8,0,1,17089,0,0,1,145506,0,1,0,0,34337,2,0,2,1,1,1,0,Malicious
291,47,2238,173,1144,242,14,55,30,0,60,199,373,196,231,34,11,163,4,34,0,27826,13,151,2,21,230,21,8,32,7,3,5,8,Benign
212,25,1270,107,776,73,23,23,32,0,50,128,640,16,259,27,5,187,48,25,1,20439,24,145,5,6,429,15,9,64,41,9,9,0,Benign
177,0,4384,121,1008,284,7,18,88,0,154,26,283,106,221,13,10,101,24,9,0,43491,33,277,0,29,441,6,1,21,0,0,4,0,Benign
279,13,3879,385,1303,345,17,18,479,0,678,256,685,28,691,45,11,70,25,43,0,58143,147,352,1,119,741,25,9,179,16,5,27,0,Benign
0,0,25,0,27,0,0,0,0,0,0,0,23,0,2,0,531,0,0,0,1,17652,0,23,0,0,27,0,0,0,0,2,0,0,Malicious
0,0,46,0,27,0,0,0,0,0,0,0,22,0,3,0,1223,0,0,0,1,32348,22,22,0,0,26,0,0,0,0,2,0,0,Malicious
30,0,418,63,67,17,1,5,17,0,65,33,217,11,54,2,10,3,31,3,0,8583,0,20,0,8,28,4,0,11,0,0,8,0,Benign
109,66,1826,152,381,124,10,24,92,0,93,101,348,223,155,11,17,52,0,1,0,21837,27,33,0,35,180,2,12,26,5,4,5,0,Benign
5,0,99,13,23,0,0,3,15,0,33,11,30,13,11,0,26,15,6,1,0,4178,1,1,0,1,20,0,0,0,1,0,3,0,Benign
23,0,600,39,72,39,0,6,16,0,3,14,87,130,37,6,7,2,5,0,0,5473,3,26,0,7,44,1,1,7,0,3,1,0,Benign
22,2,337,23,832,11,5,13,24,0,8,17,139,4,77,6,58,64,0,9,1,28324,7,12,0,0,187,5,5,22,7,9,2,1,Malicious
19,2,399,64,109,44,0,4,11,0,32,22,118,23,72,2,6,6,12,5,0,5752,6,27,0,24,70,2,3,4,0,1,2,1,Benign
1,0,18,1,18918,0,0,1,1,0,0,1,8,1,8,1,1,8,0,1,1,53192,0,1,0,0,106,1,1,3,1,1,0,0,Malicious
817,106,13512,871,3673,928,66,175,591,0,1053,587,1880,1355,1304,261,9,365,27,186,0,143749,78,628,3,86,1701,42,64,329,14,27,34,43,Benign
465,30,5009,300,4744,172,112,41,1333,0,1524,243,1661,862,444,102,8,134,7,50,0,72703,35,291,1,29,620,3,19,144,7,5,17,6,Benign
18,4,308,23,858,9,5,10,5,0,8,17,120,4,54,0,37,58,0,11,1,23810,7,16,0,0,279,4,2,19,5,7,2,1,Malicious
0,0,96,0,17818,0,0,1,2,0,92,0,2,0,4,0,4,3,0,0,1,133347,0,0,0,0,17725,0,1,0,1,0,1,0,Malicious
1,0,105,1,129,0,0,0,0,0,0,2,5,0,24,1,365,1,0,0,1,77974,23,29,0,0,82,0,0,1,0,0,0,0,Malicious
0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,2,4080,0,0,1,0,12747,0,2,0,0,3,0,0,1,0,0,0,0,Malicious
1,0,16,1,18487,0,0,1,1,0,0,1,8,0,8,1,1,5,1,1,1,51992,0,1,1,0,102,0,1,3,2,1,0,0,Malicious
21,0,220,11,139,11,1,1,58,0,13,2,67,3,29,1,6,19,1,3,0,4741,4,19,0,8,54,3,1,9,0,1,3,0,Benign
54,0,1910,24,765,189,0,0,43,0,104,6,48,14,35,0,16,91,310,0,0,32084,24,432,0,9,568,0,0,0,0,0,0,0,Benign
42,5,554,64,159,51,1,3,41,0,50,43,124,14,83,11,9,1,4,6,0,7401,16,40,0,14,93,0,2,38,0,4,2,0,Benign
65,0,1197,67,520,13,0,2,16,0,19,12,383,52,64,0,14,26,51,10,0,30075,4,405,0,47,455,7,0,33,10,1,0,0,Benign
53,6,766,52,243,55,0,12,22,0,27,49,115,2,92,17,10,46,2,22,0,11409,10,87,1,18,169,4,4,11,5,1,5,0,Benign
0,0,57,1,31,0,0,0,0,0,0,1,28,0,1,1,636,0,0,0,1,20353,26,28,0,0,31,0,0,0,0,1,0,0,Malicious
481,12,8489,365,1984,964,2,99,278,5,624,224,952,941,789,67,9,324,24,25,0,93191,50,322,1,89,792,41,23,143,2,13,19,129,Benign
21,2,126,7,274,1,6,1,0,0,0,4,67,0,56,0,18,19,2,11,0,5135,5,31,6,0,46,1,0,5,8,2,0,0,Malicious
71,12,1402,119,274,100,0,21,78,0,128,69,223,90,166,4,12,25,2,7,0,16714,27,62,0,34,110,4,1,56,0,0,6,3,Benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174019,0,0,0,0,0,0,0,0,0,0,0,0,Malicious
85,0,2466,115,585,138,0,6,53,0,179,38,418,436,72,4,10,42,3,0,0,23928,16,146,1,32,252,4,1,10,1,0,2,0,Benign
17,0,234,21,79,21,0,0,12,0,19,13,49,13,18,0,5,9,0,1,0,2371,2,13,0,9,30,1,0,6,0,0,1,0,Benign
19,2,497,20,475,8,5,11,2,0,0,13,119,3,66,2,82,54,2,11,1,26835,8,14,0,0,134,3,1,20,8,9,0,0,Malicious
33,10,867,88,392,81,0,5,161,0,173,57,164,5,146,15,13,0,32,8,0,12532,16,74,0,42,116,0,1,71,0,2,4,0,Benign
58,11,806,82,307,50,0,8,18,0,16,86,330,5,96,16,10,37,60,29,0,52874,13,98,0,13,245,2,1,22,8,1,8,0,Benign
2,0,106,6,29,0,0,0,6,0,6,1,14,4,10,1,16,0,0,0,0,1124,2,21,0,5,23,0,0,8,1,0,1,0,Benign
14,4,345,19,395,11,4,8,5,0,4,19,99,5,35,1,7,46,1,14,0,7888,2,11,0,0,222,2,2,9,0,4,2,1,Malicious
25,0,724,69,339,49,0,6,114,25,242,23,78,14,141,1,11,0,4,1,0,10735,13,122,0,7,155,0,2,64,1,0,1,2,Benign
90,0,1818,79,585,127,4,4,70,0,175,22,310,39,108,0,16,68,40,2,0,24572,19,302,0,36,385,6,2,57,0,0,3,0,Benign
136,2,2056,121,1229,218,0,2,391,0,790,71,231,0,513,34,9,5,6,25,0,35475,51,149,0,57,646,8,1,169,0,1,8,0,Benign
54,0,940,48,184,10,0,6,15,0,44,21,277,167,47,7,13,9,20,8,0,16708,11,68,1,12,127,2,3,28,0,0,2,0,Benign
1,0,21,0,18419,0,0,1,1,0,0,0,10,1,5,0,1,8,2,0,1,50930,0,2,0,0,106,0,1,0,2,1,0,0,Malicious
14,4,345,19,395,11,4,8,5,0,4,19,99,5,35,1,7,46,1,14,0,7953,2,11,0,0,222,2,2,9,0,4,2,1,Malicious
1,2,378,7,330,0,2,4,0,0,0,6,189,1,30,7,108,9,6,1,1,18513,3,25,0,0,58,2,0,4,4,11,0,0,Malicious
10,2,231,18,84,23,0,7,18,0,24,14,50,0,35,5,9,11,4,1,0,2590,1,7,0,3,34,0,3,4,0,2,2,0,Benign
0,0,96,0,17591,0,0,1,2,0,92,0,2,0,4,0,4,3,0,0,1,131964,0,0,0,0,17498,0,1,0,1,0,1,0,Malicious
223,4,4619,190,807,143,2,28,146,0,252,88,1105,978,192,26,10,104,94,13,0,83163,86,220,0,77,422,11,2,38,3,0,3,4,Benign
0,0,16394,1,16396,0,0,1,1,0,0,1,91,0,90,0,1,4,0,0,1,131669,0,0,0,0,93,1,1,0,1,0,0,0,Malicious
1,0,16,1,213,0,0,1,1,0,91,1,9,1,9,0,359,20,1,1,1,77051,0,2,0,0,211,2,0,4,1,0,1,0,Malicious
60,0,315,6,201,9,22,0,9,0,31,4,121,11,6,0,6,7,3,2,0,4680,0,18,1,2,118,0,0,0,0,0,0,0,Benign
409,85,2860,302,1157,171,8,14,362,0,174,384,488,189,328,14,16,41,4,17,0,39167,26,112,0,150,330,3,4,30,14,8,6,0,Benign
1,0,5,0,5,0,0,0,0,0,0,0,3,0,0,0,1,2,1,0,1,131142,0,1,0,0,3,0,0,0,0,0,0,0,Malicious
497,72,5350,614,3318,463,9,86,241,3,1150,562,1125,246,764,88,3,98,31,84,0,76012,85,264,3,161,2411,23,22,192,12,10,29,7,Benign
831,26,5924,686,2193,708,15,112,203,0,255,788,1040,176,1074,68,4,176,2,47,0,72211,194,206,2,177,864,78,21,288,41,9,10,15,Benign
1,0,14,1,90,0,0,0,8,0,48,0,8,0,4,0,13,2,0,1,0,2236,0,1,0,1,57,0,2,0,1,0,1,0,Benign
0,0,54,0,31,0,0,0,0,0,0,0,26,0,3,0,1047,0,0,0,1,32002,26,26,0,0,30,0,0,0,0,2,0,0,Malicious
388,4,10133,540,2818,550,10,45,316,0,648,120,1194,364,637,34,12,308,162,38,0,112303,66,1159,1,220,1643,31,7,149,28,4,22,1,Benign
26,4,843,69,226,105,0,7,27,0,15,49,122,54,68,5,18,31,12,12,0,11213,6,87,0,26,163,0,0,8,0,0,3,1,Benign
4,0,159,12,73,3,0,0,7,0,18,1,37,7,24,0,18,21,9,2,0,3056,0,41,0,6,54,5,0,13,0,0,0,0,Benign
19,2,493,20,469,8,5,11,2,0,0,13,119,3,66,2,87,53,2,11,1,28917,7,14,0,0,130,3,1,20,8,9,0,0,Malicious
23,0,253,35,80,1,9,0,4,0,5,3,121,14,28,0,7,0,2,0,0,5503,1,49,0,23,54,0,0,12,1,2,0,0,Benign
1,0,7,0,14543,0,0,0,1,0,0,0,4,0,1,0,1,2,1,0,1,116465,0,2,0,0,14541,0,1,0,0,0,0,0,Malicious
4,0,163,5,9630,0,1,5,4251,0,1736,4,43,0,11,6,4,10,0,4,0,129224,1,7,0,0,7902,0,4,1,0,0,1,0,Benign
4,0,33,4,17,1,0,2,2,0,0,4,13,0,0,1,1913,4,0,4,1,17663,3,6,1,1,9,0,0,0,0,0,0,0,Benign
